CLSID的	解释	描述
{6785BFAC-9D2D-4be5-B7E2-59937E8FB80A}	家庭组	其他用户文件夹
{B4FB3F98-C1EA-428D-A78A-D1F5659CBA93}	家庭组	其他用户文件夹
{5ED4F38C-D3FF-4D61-B506-6820320AEBFE}	所有设置	电脑设置
{F82DF8F7-8B9F-442E-A48C-818EA735FF9B}	触控笔	触控笔控制面板
{ED834ED6-4B5A-4bfe-8F11-A626DCB6A921}	个性化	个性化控制面板
{40419485-C444-4567-851A-2DD7BFA1684D}	位置信息	电话和调制解调器控制面板
{3ADD1653-EB32-4cb0-BBD7-DFA0ABB5ACCA}	图片	图片
{35786D3C-B075-49b9-88DD-029876E11C01}	便携式媒体设备	便携式设备
{8E0C279D-0BD1-43C3-9EBD-31C3DC5B8A77}	创建 Windows To Go 工作区	可移植工作区创建器
{025A5937-A6BE-4686-A844-36FE4BEC8B6D}	电源选项	电源选项
{a3c3d402-e56c-4033-95f7-4885e80b0111}	早期版本 Results Delegate 文件夹	早期版本 Results Delegate 文件夹
{f8c2ab3b-17bc-41da-9758-339d7dbf2d88}	早期版本的结果文件夹	早期版本的结果文件夹
{2227A280-3AEA-1069-A2DE-08002B30309D}	打印机	打印机
{ed50fc29-b964-48a9-afb3-15ebb9b97f36}	PrintHood 代表文件夹	PrintHood 代表文件夹
{7b81be6a-ce2b-4676-a29e-eb907a5126c5}	程序和功能	程序和功能
{4336a54d-038b-4685-ab02-99bb52d3fb8b}	公共	公用文件夹
{679f85cb-0220-4080-b29b-5540cc05aab6}	快速访问	快速访问
{4564b25e-30cd-4787-82ba-39e73a750b14}	“最近使用的项目”实例文件夹	“最近使用的项目”实例文件夹
{22877a6d-37a1-461a-91b0-dbda5aaebc99}	最近使用的文件夹	“最近地点”文件夹
{9FE63AFD-59CF-4419-9775-ABCC3849F861}	恢复	恢复
{645FF040-5081-101B-9F08-00AA002F954E}	垃圾桶	回收站
{62D8ED13-C9D0-4CE8-A914-47DD628FB1B0}	地区	地区和语言
{863aa9fd-42df-457b-8e4d-0de1b8015c60}	打印机	远程打印机
{F5FB2C77-0E2F-4A16-A381-3E560C68BC83}	可移动驱动器	可移动驱动器
{a6482830-08eb-41e2-84c1-73920c2badb9}	可移动存储设备	可移动存储设备
{2965e715-eb66-4719-b53f-1672673bbefa}	“结果”文件夹	“结果”文件夹
{2559a1f3-21d7-11d4-bdaf-00c04f60b9f0}	跑	跑。。。
{2559a1f8-21d7-11d4-bdaf-00c04f60b9f0}	搜索窗口	随处搜索
{D9EF8727-CAC2-4E60-809E-86F80A666C91}	BitLocker 驱动器加密	安全启动
{BB64F8A7-BEE7-4E1A-AB8D-7D8273F7FDB6}	安全与维护	安全和维护 CPL
{2559a1f7-21d7-11d4-bdaf-00c04f60b9f0}	设置程序访问和计算机默认值	设置程序访问和默认值
{17cd9488-1228-4b2f-88ce-4298e93e0966}	默认程序	设置用户默认值
{E7E4BC40-E76A-11CE-A9BB-00AA004AE837}	Shell DocObject 查看器	Shell DocObject 查看器
{3080F90D-D7AD-11D9-BD98-0000947B0257}	显示桌面	显示桌面
{F2DDFC82-8F12-4CDD-B7DC-D4FE1425AA4D}	声音	声音控制面板
{58E3C745-D971-4081-9034-86E34B30836A}	语音识别	语音识别
{F942C606-0914-47AB-BE56-1321B8035096}	存储	存储空间
{EDC978D6-4D53-4b2f-A265-5805674BE568}	StreamBacked文件夹	StreamBacked文件夹
{E413D040-6788-4C22-957E-175D1C513A34}	同步中心冲突委托文件夹	同步中心冲突委托文件夹
{289978AC-A101-4341-A817-21EBA7FD046D}	同步中心冲突文件夹	同步中心冲突文件夹
{9C73F5E5-7AE7-4E32-A8E8-8D23B85255BF}	同步中心	同步中心文件夹
{BC48B32F-5910-47F5-8570-5074A8A5636A}	同步结果委托文件夹	同步结果委托文件夹
{71D99464-3B6B-475C-B241-E15883207529}	“同步结果”文件夹	“同步结果”文件夹
{F1390A9A-A3F4-4E5D-9C5F-98F3BD8D935C}	同步安装代理文件夹	同步安装代理文件夹
{2E9E59C0-B437-4981-A647-9C34B9B90891}	同步设置文件夹	同步设置文件夹
{BB06C0E4-D293-4F75-8A90-CB05B6477EEE}	系统	系统
{80F3F1D5-FECA-45F3-BC32-752C152E456E}	平板电脑设置	平板电脑设置控制面板
{0DF44EAA-FF21-4412-828E-260A8728E7F1}	任务栏设置	任务栏
{D17D1D6D-CC3F-4815-8FE3-607E7D5D10B3}	语音识别属性	文本转语音控制面板
{5b934b42-522b-4c34-bbfe-37a3ef7b9c90}	此设备	此设备
{f8278c54-a712-415b-b593-b77a2be0dda9}	此设备	此设备
{20D04FE0-3AEA-1069-A2D8-08002B30309D}	个人电脑	这台电脑
{C58C4893-3BE0-4B45-ABB5-A63E4B8C8651}	故障 排除	故障 排除
{60632754-c523-4b62-b45c-4172da012619}	用户帐户	用户帐户
{7A9D77BD-5403-11D2-8785-2E0420524153}	用户帐户	用户帐户
{1f3427c8-5c10-4210-aa03-2ee45287d668}	用户已固定	用户已固定
{59031a47-3f72-44a7-89c5-5595fe6b30ee}	用户文件	用户文件
{031E4825-7B94-4dc3-B131-E946B44C8DD5}	图书馆	用户库
{A0953C92-50DC-43bf-BE83-3742FED03C9C}	视频	视频
{B98A2BEA-7D42-4558-8BD1-832F41BAC6FD}	备份和还原 （Windows 7）	Windows 7 文件恢复
{67718415-C450-4F3C-BF8A-B487642DC39B}	Windows 功能	Windows 功能
{4026492F-2F69-46B8-B9BF-5654FC07E423}	Windows 防火墙	Windows 防火墙
{241D7C96-F8BF-4F85-B01F-E2B043341A4B}	RemoteApp 和桌面连接	工作区中心
